state_abr,fips,county,square_km,lat,lng
AK,2130,Ketchikan Gateway,"17.232,65",55.449938,-131.106685
AK,2275,Wrangell,"8.966,69",56.279121,-132.040326
AK,2198,Prince of Wales-Hyder,"19.899,61",55.415683,-132.875734
AK,2195,Petersburg,"14.721,66",56.639612,-133.527996
AK,2110,Juneau,"8.427,54",58.3727,-134.178781
AK,2105,Hoonah-Angoon,"28.267,52",58.076434,-135.1851
AK,2220,Sitka,"12.461,55",57.142509,-135.332624
AK,2230,Skagway,"1.201,85",59.575097,-135.335418
AK,2100,Haines,"7.059,02",59.099905,-135.578102
AK,2282,Yakutat,"24.508,71",59.999083,-140.239593
AK,2240,Southeast Fairbanks,"64.903,71",63.864997,-143.218628
AK,2261,Valdez-Cordova,"104.480,57",61.34984,-145.023141
AK,290,Fairbanks North Star,"19.279,06",64.690832,-146.599867
AK,220,Anchorage,"5.078,97",61.177549,-149.274354
AK,2170,Matanuska-Susitna,"65.416,90",62.182174,-149.407974
AK,268,Denali,"33.092,07",63.682732,-150.026719
AK,2290,Yukon-Koyukuk,"382.812,22",65.376131,-151.576855
AK,2122,Kenai Peninsula,"64.108,21",60.366373,-152.321973
AK,2185,North Slope,"245.521,23",69.449343,-153.47283
AK,2150,Kodiak Island,"31.136,39",57.553611,-153.630911
AK,2164,Lake and Peninsula,"85.268,88",58.205065,-156.705188
AK,260,Bristol Bay,"2.298,78",58.731373,-156.986612
AK,270,Dillingham,"54.170,14",59.824816,-158.602233
AK,2188,Northwest Arctic,"105.539,25",67.005066,-160.021086
AK,250,Bethel,"117.855,35",60.928916,-160.15335
AK,213,Aleutians East,"38.875,36",55.243722,-161.950749
AK,2270,Wade Hampton,"50.952,71",62.283174,-163.19095
AK,2180,Nome ,"73.238,70",64.783686,-164.188912
AK,216,Aleutians West,"36.561,41",51.959447,-178.338813
AL,1113,Russell,"1.676,22",32.289811,-85.18698
AL,167,Henry,"1.471,91",31.516978,-85.239971
AL,169,Houston,"1.506,48",31.158193,-85.296398
AL,181,Lee,"1.595,04",32.604064,-85.353048
AL,117,Chambers,"1.562,06",32.917943,-85.391812
AL,15,Barbour,"2.342,68",31.87067,-85.405456
AL,1111,Randolph,"1.512,90",33.296475,-85.464068
AL,129,Cleburne,"1.453,02",33.671981,-85.516109
AL,145,Dale,"1.457,39",31.430654,-85.609476
AL,119,Cherokee,"1.553,94",34.069515,-85.654242
AL,187,Macon,"1.588,20",32.387027,-85.692887
AL,111,Bullock,"1.619,11",32.101759,-85.717261
AL,1123,Tallapoosa,"1.984,59",32.863369,-85.799553
AL,149,DeKalb,"2.016,79",34.460929,-85.803992
AL,115,Calhoun,"1.585,81",33.771706,-85.822513
AL,161,Geneva,"1.499,48",31.090866,-85.824346
