fips,opioid_factor,year
4123,1.147025E7,2007
27133,2.171168355E7,2007
577,9422140.0,2007
2271,5.605600705E8,2007
2845,7.133616775E7,2007
48493,2.324045905E7,2007
3175,18000.0,2007
48267,5525101.95,2007
48221,7.788992355E7,2007
51131,8.13102592E7,2007
51139,5.694063695E7,2007
20169,6.256672339999999E7,2007
37157,4.089679447E8,2007
2517,1.8873953423499992E9,2007
403,2599500.0,2007
2797,1.8060135E7,2007
5573,9.569492614999999E7,2007
47145,2.6161471970000002E8,2007
2755,1.476867E7,2007
2077,1527100.0,2007
26155,1.376135631E8,2007
4551,1.2014304294500003E9,2007
4527,6.98390642E7,2007
4795,2.33254592E7,2007
277,8.166398355E7,2007
19111,3.871301775E7,2007
39171,3.64477171E7,2007
37179,9.808242552E8,2007
42107,4.9870131190000004E8,2007
30101,1.387906775E7,2007
48507,1.6414E7,2007
46125,1.58465E7,2007
19117,1.6415875E7,2007
2659,3.25846771E7,2007
13175,4.0124854165E8,2007
5443,5.656992E7,2007
48195,2653475.0,2007
3097,2155750.0,2007
21229,9242275.0,2007
2313,9.913573985E7,2007
4039,5.90309721E7,2007
61,1.0530924304585004E11,2007
255,2.5424936828000016E9,2007
21109,2.797024855E7,2007
2283,1.055929E8,2007
687,5.646956823E8,2007
3769,2.4197642485E8,2007
3625,1.37143575E8,2007
2915,7.813251E7,2007
17111,2.104232236E8,2007
20191,1.5528185E7,2007
5413,1.00531592E7,2007
3519,2.273660195E7,2007
1261,9.243544243E8,2007
1373,1.981640046E8,2007
21165,1.663926E7,2007
3147,1.12925078E7,2007
26141,2.63640771E7,2007
4699,3.037559994E8,2007
4835,1.350843355E7,2007
21135,4.60567513E7,2007
39157,1.893061316E8,2007
48151,3006833.55,2007
611,3.703259585E7,2007
4511,6.16941971E7,2007
55133,5.1009917275000006E8,2007
631,3.0102732200000006E8,2007
20141,3599900.0,2007
48355,2.9049641520000005E8,2007
47177,1.1094358699999999E8,2007
299,5.0189184699999996E7,2007
37121,1.486053312E8,2007
5315,3.0138339050000006E8,2007
48111,4789250.0,2007
2019,4588950.0,2007
3785,1.848587853E8,2007
3947,6.86826971E7,2007
48247,2266500.0,2007
290,1.2239496275E8,2007
6111,2.0722857453500001E9,2007
13179,3.60102921E7,2007
13127,3.1908839650000006E8,2007
17157,3.72817771E7,2007
1871,1.0840836419999999E8,2007
3983,8.40575271E7,2007
349,4.1322962719999987E8,2007
13251,1.82638584E7,2007
4831,7283897.75,2007
18173,6.5198921300000004E7,2007
4167,1.4837313496499999E9,2007
