state_abr,opioid_factor,year
va,1.7181742098499996E10,2007
gu,1.070813355E7,2007
co,8.46490666300275E9,2007
vi,6.609397985000001E7,2007
ca,5.558512435036001E11,2007
al,2.5356695682099995E10,2007
ar,7.602385796200001E9,2007
vt,1.18909487855E9,2007
il,1.9672901724824997E10,2007
ga,1.7398802121464993E11,2007
in,2.4540262330199993E10,2007
ia,3.60951750925E9,2007
az,2.5886158902128002E10,2007
id,3.466073306599999E9,2007
ct,8.82069993E9,2007
pr,5.691745829000001E8,2007
nj,2.7846449935299995E10,2007
nm,6.72184976065E9,2007
tx,6.748901674725001E10,2007
la,1.9353064218249996E10,2007
nc,9.655243236285E10,2007
nd,7.369547962300001E9,2007
ne,2.2956074932E9,2007
tn,4.1989358023799995E10,2007
ny,3.7287557831749985E10,2007
pa,3.4469258756537506E10,2007
ak,1.17599893085E9,2007
nv,1.1176478993900005E10,2007
nh,3.5564683667999997E9,2007
wa,1.906010320239999E10,2007
de,2.6206970118999996E9,2007
dc,6.307148613499999E8,2007
wi,7.4264617675E9,2007
wv,7.438807974400001E9,2007
hi,2.9664363047000003E9,2007
ma,1.31942398193E10,2007
fl,1.9150059354907492E11,2007
wy,1.2676187026E9,2007
pw,325500.0,2007
me,3.6567664536500006E9,2007
md,1.772195761065E10,2007
ok,1.1331440926149996E10,2007
oh,3.56162893401E10,2007
ut,6.872834471100003E9,2007
mo,4.4771561002325E10,2007
mn,8.1839263649E9,2007
mi,2.0131674626800003E10,2007
ri,1.87952927085E9,2007
ks,1.3092388438499996E10,2007
mt,3.1283292131000004E9,2007
mp,5529000.0,2007
ms,1.293160109915E10,2007
sc,1.312818887775E11,2007
ky,3.0136095941599995E10,2007
or,1.3813875765349997E10,2007
sd,1.1354307749E9,2007
va,2.4193060478150005E10,2008
gu,2.97988742E7,2008
co,1.018873567131875E10,2008
vi,1.1064379565E8,2008
ca,5.4156880968390015E11,2008
al,1.5370746688349998E10,2008
ar,7.141694728200002E9,2008
vt,1.2227374187499998E9,2008
il,2.7250720689019993E10,2008
ga,2.2996476872972488E11,2008
in,1.964572555054999E10,2008
ia,4.09541224225E9,2008
az,2.6002366939706997E10,2008
id,3.638259877200001E9,2008
ct,8.138316536400001E9,2008
pr,1.05516307375E9,2008
nj,3.031933009135E10,2008
nm,6.820961480700001E9,2008
tx,8.988643554789996E10,2008
la,1.7271111128E10,2008
nc,7.123258876225002E10,2008
nd,6.477916092300001E9,2008
ne,2.07885607575E9,2008
tn,3.771922624005E10,2008
ny,3.4171491035849987E10,2008
pa,3.813471406965E10,2008
ak,2.1294116473E9,2008
nv,1.24496037567E10,2008
nh,4.749368611450001E9,2008
wa,2.1607502655300007E10,2008
de,2.3204786010999994E9,2008
dc,6.0890506135E8,2008
wi,8.670087422999998E9,2008
wv,8.166994819349999E9,2008
hi,3.3389664787499995E9,2008
ma,1.3758898484649998E10,2008
fl,2.947337457192499E11,2008
wy,1.0685736739554001E9,2008
pw,15000.0,2008
me,3.3559098261499996E9,2008
md,1.5705569776299997E10,2008
ok,2.866231547824999E10,2008
oh,8.602114739320001E10,2008
ut,7.910036450700001E9,2008
mo,3.301917494661249E10,2008
mn,5.62267027995E9,2008
mi,3.2136814399049988E10,2008
ri,2.6250476447999997E9,2008
ks,1.0429347461450005E11,2008
mt,3.8666395983500004E9,2008
mp,6745792.1,2008
ms,1.4277684540150003E10,2008
sc,2.252896068045E11,2008
ky,8.813717803875008E10,2008
or,1.3669133531699999E10,2008
sd,2.22572795325E9,2008
va,3.620584558917098E10,2009
gu,9248937.45,2009
co,1.157722531666912E10,2009
vi,5.90933471E7,2009
ca,4.718977000704502E11,2009
al,2.0424637829499996E10,2009
ar,1.1846301142249996E10,2009
vt,9.917889718375E10,2009
il,6.627971191745E10,2009
ga,1.8613301074214993E11,2009
in,1.9977564720050003E10,2009
ia,4.2605680171000004E9,2009
az,3.601067828881921E10,2009
id,1.4069810999399994E10,2009
ct,6.776444493634499E9,2009
pr,1.8844997697E9,2009
nj,1.3634660039049998E11,2009
nm,1.06780212185225E10,2009
tx,1.5883406423590002E11,2009
la,2.7295222209450005E10,2009
nc,9.354302301480002E10,2009
nd,1.01719860019E10,2009
ne,4.465872835750003E9,2009
tn,4.308895838780002E10,2009
ny,3.416284019355E10,2009
pa,7.394624518400002E10,2009
ak,1.5689858390499997E9,2009
nv,1.1156499303550001E10,2009
nh,3.33751832935E9,2009
wa,2.47101571063E10,2009
de,2.970785551999999E9,2009
dc,5.995096296500001E8,2009
wi,1.1907303888399996E10,2009
wv,2.5714242532050003E10,2009
hi,2.445877427200001E9,2009
ma,1.2657792569249996E10,2009
fl,3.4093248181149994E11,2009
wy,2.89437065725E9,2009
pw,198250.0,2009
me,3.7070001071000004E9,2009
md,2.1906788552399998E10,2009
ok,4.356830550765001E10,2009
oh,9.999251462525005E10,2009
ut,9.328127836902403E9,2009
mo,3.8487888861225006E10,2009
mn,2.0791041064799988E10,2009
mi,4.393423355600002E10,2009
ri,3.109506294299999E9,2009
ks,1.42663932006E10,2009
mt,4.6360641226E9,2009
mp,8418250.0,2009
ms,1.7604351002024998E10,2009
sc,2.5426230431959995E11,2009
ky,1.0490564786365004E11,2009
or,1.4636304681300001E10,2009
sd,1.86819656495E9,2009
va,2.43151356604E10,2010
gu,1.6494055850000001E7,2010
co,1.2901624011225002E10,2010
vi,9.459307E7,2010
ca,6.7787726659954E11,2010
al,2.229290747720001E10,2010
ar,1.0390460988525002E10,2010
vt,1.7263278986499999E9,2010
il,8.50246396848E10,2010
ga,1.9569078230580002E11,2010
