fips,month,year,opioid_factor
36101,03,2007,4000.0
48141,04,2007,5000.0
3441,11,2007,27000.0
3937,05,2007,500.0
3693,08,2007,65000.0
367,12,2007,178500.0
1313,12,2007,45000.0
2443,02,2007,109250.0
51775,10,2007,2500.0
3623,12,2007,99500.0
48157,01,2007,40000.0
3635,08,2007,1000.0
4279,04,2007,339225.0
2443,04,2007,98750.0
39113,09,2007,750.0
51775,07,2007,8500.0
3655,08,2007,154040.0
1731,07,2007,63750.0
3691,08,2007,72975.0
235,04,2007,9000.0
5011,01,2007,8750.0
3691,09,2007,4900.0
135,08,2007,3750.0
1791,03,2007,13500.0
51775,03,2007,30000.0
3649,02,2007,3750.0
3437,08,2007,16483.55
3693,05,2007,106250.0
5457,01,2007,4000.0
3631,04,2007,1000.0
1291,01,2007,125000.0
42131,11,2007,8750.0
2319,05,2007,810000.0
4291,05,2007,8000.0
2429,08,2007,62000.0
673,03,2007,1418000.0
5115,09,2007,39500.0
4225,09,2007,18000.0
543,02,2007,13000.0
3621,08,2007,72000.0
48201,02,2007,45000.0
18127,09,2007,9250.0
2431,12,2007,833310.0
5455,07,2007,16000.0
4269,03,2007,182000.0
21235,07,2007,10000.0
3655,03,2007,843000.0
5457,07,2007,15000.0
36113,06,2007,750.0
3935,12,2007,17500.0
39157,02,2007,750.0
4297,11,2007,43000.0
5437,12,2007,26000.0
507,05,2007,6000.0
3993,02,2007,7000.0
3635,04,2007,750.0
3655,01,2007,241500.0
4215,07,2007,29000.0
2443,08,2007,67750.0
1889,08,2007,67250.0
42119,01,2007,1750.0
3419,02,2007,10000.0
3949,11,2007,5000.0
51600,06,2007,80250.0
5169,11,2007,63750.0
429,04,2007,4000.0
3671,08,2007,24250.0
3613,09,2007,71000.0
421,09,2007,12000.0
105,02,2007,312500.0
397,08,2007,12500.0
3677,06,2007,4500.0
363,09,2007,5000.0
659,11,2007,979250.0
183,08,2007,2500.0
3625,07,2007,11250.0
5173,12,2007,6750.0
3615,11,2007,20500.0
3955,12,2007,3750.0
5171,11,2007,9000.0
4237,07,2007,8000.0
36103,03,2007,945500.0
29135,02,2007,2500.0
3667,07,2007,55000.0
42117,05,2007,109000.0
241,10,2007,26750.0
3623,06,2007,750.0
1387,10,2007,3750.0
3687,02,2007,144750.0
2427,02,2007,89500.0
1853,06,2007,500.0
36111,05,2007,36500.0
413,10,2007,1875.0
4283,08,2007,8000.0
12105,02,2007,27000.0
1811,07,2007,2000.0
17197,11,2007,32750.0
51199,03,2007,216500.0
3691,03,2007,6750.0
333,12,2007,27000.0
3413,02,2007,25000.0
1891,02,2007,2500.0
4235,07,2007,24750.0
1313,04,2007,5000.0
4151,01,2007,3750.0
4269,02,2007,59000.0
4277,04,2007,4000.0
3993,11,2007,58250.0
51167,07,2007,216500.0
51127,08,2007,250.0
3669,04,2007,4000.0
629,05,2007,84750.0
42127,09,2007,9000.0
1891,08,2007,750.0
3627,07,2007,176000.0
3667,03,2007,168500.0
1743,05,2007,750.0
241,05,2007,12500.0
671,01,2007,271250.0
3941,09,2007,1000.0
3697,04,2007,18000.0
2419,10,2007,281500.0
2441,10,2007,1000.0
5161,12,2007,9000.0
2441,01,2007,18750.0
5455,02,2007,64000.0
3633,06,2007,21000.0
5161,03,2007,28250.0
13193,11,2007,750.0
42127,02,2007,114750.0
3615,03,2007,77500.0
4235,05,2007,9000.0
3649,03,2007,25000.0
3621,02,2007,58000.0
3643,06,2007,65500.0
237,02,2007,308160.0
36109,11,2007,12750.0
4215,06,2007,20500.0
1753,01,2007,2500.0
5141,08,2007,29500.0
5173,06,2007,37500.0
51147,09,2007,4000.0
5023,07,2007,8000.0
363,10,2007,3000.0
3627,02,2007,78250.0
36107,05,2007,9750.0
1299,04,2007,485000.0
5579,04,2007,750.0
3669,10,2007,3000.0
5025,06,2007,16000.0
5561,08,2007,6750.0
51139,11,2007,10000.0
5147,03,2007,12000.0
3629,06,2007,241750.0
183,05,2007,9000.0
1775,10,2007,6500.0
3671,01,2007,86250.0
3413,10,2007,500.0
3675,10,2007,422000.0
18127,04,2007,8250.0
1743,01,2007,15250.0
5169,02,2007,500.0
36119,06,2007,188500.0
501,12,2007,1000.0
5465,02,2007,100000.0
39143,02,2007,4000.0
42107,12,2007,331750.0
3675,01,2007,31750.0
3223,12,2007,25000.0
3677,05,2007,8500.0
5141,11,2007,3750.0
369,07,2007,6750.0
3667,10,2007,365000.0
39103,03,2007,1900.0
51141,05,2007,4000.0
36111,11,2007,18225.0
253,09,2007,40000.0
36119,07,2007,423725.0
249,04,2007,27500.0
51167,12,2007,49750.0
1387,09,2007,5000.0
51103,04,2007,5000.0
5431,05,2007,32000.0
235,07,2007,750.0
1763,11,2007,1250.0
3655,12,2007,76000.0
361,10,2007,81000.0
3657,04,2007,11500.0
5173,10,2007,9000.0
3659,05,2007,973000.0
36117,09,2007,200000.0
51125,11,2007,8000.0
36107,06,2007,32750.0
505,07,2007,9000.0
5457,10,2007,1000.0
3687,09,2007,31000.0
51187,10,2007,3000.0
5019,12,2007,9000.0
5447,05,2007,10250.0
3611,03,2007,750.0
4139,03,2007,16000.0
5011,03,2007,18000.0
3651,02,2007,750.0
3671,06,2007,24000.0
36101,11,2007,10000.0
4281,10,2007,64500.0
501,05,2007,3000.0
51141,10,2007,56000.0
51161,09,2007,1000.0
1815,02,2007,4000.0
4241,10,2007,36225.0
629,04,2007,150250.0
2521,05,2007,27000.0
5151,11,2007,5000.0
4255,09,2007,11000.0
3679,01,2007,39500.0
3645,08,2007,4000.0
36109,05,2007,1000.0
3631,12,2007,37000.0
36119,10,2007,249500.0
5161,06,2007,3500.0
369,04,2007,4750.0
3431,07,2007,6000.0
629,02,2007,106500.0
51199,05,2007,100000.0
2413,07,2007,166250.0
3643,12,2007,19500.0
36101,02,2007,28750.0
3631,11,2007,4000.0
3677,08,2007,14500.0
39139,01,2007,3000.0
2429,10,2007,2500.0
36113,01,2007,2000.0
3419,04,2007,750.0
3643,07,2007,8000.0
51197,07,2007,58000.0
4297,08,2007,18000.0
51197,04,2007,34000.0
42103,04,2007,32500.0
1811,02,2007,2000.0
3627,09,2007,83000.0
5457,04,2007,51000.0
13321,11,2007,3000.0
1811,03,2007,1000.0
3993,04,2007,10975.0
2441,11,2007,110000.0
12133,11,2007,2500.0
