buyer_state,buyer_county,transaction_code,drug_name,quantity,transaction_date,dosage_unit,measure,dos_str
MA,MIDDLESEX,S,HYDROCODONE,1.0,12262012,100.0,TAB,10.0
AZ,MARICOPA,T,HYDROCODONE,4.0,03112009,40.0,TAB,5.0
AZ,MARICOPA,Y,HYDROCODONE,40.0,11252008,1200.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,20.0,06122009,600.0,TAB,7.5
AZ,MARICOPA,S,HYDROCODONE,10.0,10022009,300.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,20.0,03232010,600.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,5.0,10112007,75.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,10.0,01112008,150.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,10.0,07142008,150.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,10.0,12052012,150.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,10.0,07242012,200.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,10.0,01072008,300.0,TAB,7.5
CA,VENTURA,S,HYDROCODONE,20.0,02092007,200.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,40.0,09122007,1200.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,20.0,11072008,600.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,20.0,10122009,600.0,TAB,7.5
AZ,MARICOPA,S,HYDROCODONE,10.0,02042012,300.0,TAB,7.5
AZ,MARICOPA,S,HYDROCODONE,10.0,01172011,200.0,TAB,5.0
CO,PUEBLO,S,HYDROCODONE,10.0,01122009,150.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,4.0,11052009,24.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,3.0,09152010,18.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,3.0,12092010,90.0,TAB,7.5
AZ,MARICOPA,S,HYDROCODONE,1.0,10192009,500.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,20.0,05292012,600.0,TAB,7.5
AZ,MARICOPA,S,HYDROCODONE,20.0,11012012,600.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,20.0,04182008,600.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,20.0,01222009,600.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,20.0,05262012,600.0,TAB,5.0
AZ,MARICOPA,S,HYDROCODONE,20.0,08012012,600.0,TAB,7.5
AZ,MARICOPA,S,HYDROCODONE,40.0,02172012,1200.0,TAB,7.5
AZ,MARICOPA,S,HYDROCODONE,20.0,12162011,600.0,TAB,7.5
AZ,MARICOPA,S,HYDROCODONE,40.0,07262012,1200.0,TAB,5.0
