State,State_Abr,Opioid_Factor,Crime_Percent,Homeless_Percent,Average_Income,Unemployment_Percent,Population,Year,z_score_AvgInc,z_score_Unem,z_score_Crime,z_score_Homeless,z_score_opioid,prediction
Virginia,VA,17200000000,2.72,0.13,71824,3.2,7751000,2007,1.4815909879773828,-1.6920381900986732,-0.6584762994708061,-0.4977549046992981,-0.4267069594808134,3
Colorado,CO,8460000000,3.39,0.3,74228,4.4,4803868,2007,1.745897202594096,-1.21436116027157,0.14600787384327518,1.3000850485347124,-0.4640875434803298,2
California,CA,556000000000,0.53,0.38,67664,5.5,36250311,2007,1.0242224967937192,-0.7764905495967255,-3.2880588958257886,2.1461273794683646,0.6440333306895855,2
Alabama,AL,25400000000,4.16,0.12,51248,3.7,4672840,2007,-0.7806239338002763,-1.4930060943373802,1.0705643118311001,-0.6035101960660048,-0.16417081030341996,0
Arkansas,AR,7600000000,4.48,0.13,49527,6.0,2848650,2007,-0.9698381581577487,-0.5774584538354325,1.4547955587870796,-0.4977549046992981,-0.3900712101626436,0
Vermont,VT,1190000000,2.42,0.17,57534,4.8,623481,2007,-0.0895137569780385,-1.0551354836625357,-1.0186930934920368,-0.07473373923247201,-0.4520439866598594,3
Illinois,IL,19700000000,3.51,0.12,63745,5.2,12695866,2007,0.5933505936810323,-0.8959098070535012,0.29009459145176697,-0.6035101960660048,-0.48117816820519915,3
Georgia,GA,174000000000,4.49,0.21,59053,4.5,9349988,2007,0.07749170891330404,-1.1745547411193116,1.4668027852544536,0.3482874262343538,0.9110791103304688,0
Indiana,IN,24500000000,3.71,0.12,57610,5.4,6379599,2007,-0.08115798646602926,-0.8162969687489839,0.5302391207992542,-0.6035101960660048,-0.29437789660480373,0
Iowa,IA,3610000000,2.9,0.09,59377,4.7,2999212,2007,0.11311367793818553,-1.0949419028147942,-0.44234622305806814,-0.9207760701661243,-0.5095846445377819,3
Arizona,AZ,25900000000,4.49,0.24,57321,4.0,6167681,2007,-0.11293190328143281,-1.3735868368806046,1.4668027852544536,0.6655533003344734,-0.26508129774135586,0
Idaho,ID,3470000000,2.48,0.12,59712,4.0,1505105,2007,0.1499450348003315,-1.3735868368806046,-0.9466497346877907,-0.6035101960660048,-0.4196535520691801,3
Connecticut,CT,8820000000,2.64,0.13,77870,5.0,3527270,2007,2.146314521077486,-0.9755226453580185,-0.754534111209801,-0.4977549046992981,-0.4037353269687378,3
New Jersey,NJ,27800000000,2.54,0.2,73460,4.8,8677885,2007,1.6614599426832657,-1.0551354836625357,-0.8746063758835445,0.24253213486764752,-0.34635473222295715,3
New Mexico,NM,6720000000,4.35,0.15,53850,3.9,1990070,2007,-0.4945487381128021,-1.413393256032863,1.298701614711212,-0.28624432196588523,-0.33221664856289557,0
Texas,TX,67500000000,4.65,0.17,55911,4.8,23831983,2007,-0.26795343514897263,-1.0551354836625357,1.6589184087324433,-0.07473373923247201,-0.3766531870466349,0
Louisiana,LA,19400000000,4.69,0.13,50156,4.5,4375581,2007,-0.9006831627359879,-1.1745547411193116,1.7069473146019407,-0.4977549046992981,-0.24595076595282733,0
North Carolina,NC,96600000000,4.53,0.13,52827,5.0,9118037,2007,-0.6070218069784001,-0.9755226453580185,1.514831691123951,-0.4977549046992981,0.25687970054485193,0
North Dakota,ND,7370000000,1.99,0.1,57309,4.0,652822,2007,-0.11425123546753953,-1.3735868368806046,-1.5350038315891337,-0.8150207787994177,0.3136101320352576,3
Nebraska,NE,2300000000,3.33,0.2,59700,3.7,1783440,2007,0.14862570261422478,-1.4930060943373802,0.07396451503902904,0.24253213486764752,-0.502565965161906,3
